[自定义·总览]  Space ?             打开这张可搜索的 Zed / Vim 速查表；输入关键词过滤，Esc 关闭
[自定义·通用]  Ctrl-s              保存当前文件
[自定义·通用]  Ctrl-Shift-a        打开 / 关闭 Agent 面板
[自定义·通用]  Ctrl-/              注释 / 取消注释当前行或选区
[自定义·模式]  j k                 Insert 模式依次按 j、k，回到 Normal（光标留在插入点之前）
[自定义·面板]  Space e             打开项目文件树；若已打开则聚焦，再按一次关闭
[自定义·面板]  Space f e           从编辑区直接打开 / 关闭整个左侧 Dock（file explorer）
[自定义·查找]  Space f f           按文件名查找并打开文件（file finder）
[自定义·查找]  Space f g           全局文本搜索；Visual 下自动带入选中的内容
[自定义·查找]  Space f w           当前文件查光标下完整单词；用 n / N 跳转
[自定义·查找]  Space f W           全局查光标下完整单词；打开悬浮搜索框并自动填词
[自定义·查找]  Space f r           全局搜索并展开替换栏（search / replace）
[自定义·查找]  Space f p           当前 Pane 打开 Markdown 预览；预览中再按一次返回编辑器（默认 Ctrl-Shift-v）
[自定义·查找]  Space f P           打开并聚焦侧边 Markdown 预览；预览中再按一次关闭（默认 Ctrl-k v）
[自定义·查找]  Space f s           当前文件符号 / 大纲（outline）
[自定义·查找]  Space f S           全项目符号（project symbols）
[自定义·文件]  Space f y           在中央区域打开 Yazi 文件管理器
[自定义·Buffer]  Space b b         最近 Buffer / Tab 切换器
[自定义·Buffer]  Space b d         关闭当前 Buffer / Tab
[自定义·Buffer]  Space b o         只保留当前 Buffer，关闭其他 Tab 和 Pane
[自定义·Buffer]  Space b a         关闭全部 Buffer 和 Pane
[自定义·Buffer]  [ b / ] b         上一个 / 下一个 Buffer
[自定义·窗口]  Ctrl-h/j/k/l        聚焦左 / 下 / 上 / 右 Pane；Terminal 与 Dock 中也可用
[自定义·窗口]  Space w |           垂直分屏（左右）
[自定义·窗口]  Space w -           水平分屏（上下）
[自定义·窗口]  Space w d           关闭当前 Pane 中的活动项
[自定义·窗口]  Ctrl-方向键         向对应方向调整 Pane 大小
[自定义·窗口]  Ctrl-w =            平均重置所有 Pane 尺寸
[自定义·代码]  Space c a           Code Action / Quick Fix
[自定义·代码]  Space c f           格式化文件；Visual 下格式化选区
[自定义·代码]  Space c r           重命名符号
[自定义·代码]  Space c m           打开 LSP 工具菜单
[自定义·代码]  Space c h           C / C++ 源文件与头文件切换
[自定义·跳转]  g d / g D           跳到定义 / 声明
[自定义·跳转]  g y / g I           跳到类型定义 / 实现
[自定义·跳转]  g r                 查找所有引用
[自定义·跳转]  g K / K             参数签名帮助 / Hover 文档
[自定义·跳转]  [ d / ] d           上一个 / 下一个诊断错误
[自定义·跳转]  [ h / ] h           上一个 / 下一个 Git hunk
[自定义·跳转]  Space j j           EasyMotion 风格跳到屏幕上的单词
[自定义·跳转]  Space j l           跳到指定行
[自定义·语法]  Space j t           扩大语法节点选区
[自定义·问题]  Space p b           当前文件诊断列表
[自定义·问题]  Space p p           全项目诊断列表
[自定义·问题]  Space p d           显示光标处诊断 / Hover
[自定义·Git]  Space g g            在中央区域打开 Lazygit
[自定义·Git]  Space g h p          显示 / 隐藏选中位置的 Git diff hunk
[自定义·终端]  Space t f           新建中央 Terminal
[自定义·终端]  Space t t           聚焦 / 隐藏底部 Terminal
[自定义·终端]  Space r l           聚焦 / 隐藏底部 Terminal
[自定义·终端]  Ctrl-q              进入 / 退出 Terminal Vi Normal；进入后可用常用 Workspace / Buffer / Pane Leader
[自定义·终端]  Ctrl-Shift-c        Terminal 中复制；编辑区不再打开 Collab Panel
[自定义·任务]  Space r r / r s     打开 Zed Task 选择器
[自定义·任务]  Ctrl-Shift-r        始终打开悬浮 Task 选择器，不受最近运行任务影响
[自定义·显示]  Space u h           开关 Inlay Hints（类型、参数提示）
